ACCOUNT_ID,OPP_ID,ORDER_DATE,PRODUCT,QUANTITY,START,END
account1,opp1,4/23/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,4,4/24/20,4/23/21
account1,opp1,4/23/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,2,4/24/20,4/23/21
account2,opp2,4/16/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,1,4/17/20,4/16/21
account2,opp2,4/16/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,8,4/17/20,4/16/21
account3,opp3,4/9/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,3,4/10/20,4/9/21
account3,opp3,4/9/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,4/10/20,4/9/21
account4,opp4,4/10/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,4,4/11/20,4/10/21
account4,opp4,4/10/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,1,4/11/20,4/10/21
account5,opp5,4/18/20,10347b6bfa203126ec438cd4c7ff6d70fbd6cf484916613e72c37a5dac557088,1,4/19/20,4/18/21
account5,opp5,4/18/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,8,4/19/20,4/18/21
account6,opp6,4/10/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,2,4/11/20,4/10/21
account6,opp6,4/10/20,10347b6bfa203126ec438cd4c7ff6d70fbd6cf484916613e72c37a5dac557088,1,4/11/20,4/10/21
account7,opp7,4/2/20,d4414675f5ff265a2ab7734bf3ff8e62e4fd621ea38028b2a335d947397dfba4,1,4/3/20,4/2/23
account7,opp7,4/2/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,4/3/20,4/2/23
account7,opp7,4/2/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,3,4/3/20,4/2/23
account7,opp7,4/2/20,cfb232fb5466177f86847bd58273e9229275c14489e67b859bf4438eea7fdfa4,1,4/3/20,4/2/23
account7,opp7,4/2/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,18,4/3/20,4/2/23
account7,opp7,4/2/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,4/3/20,4/2/23
account8,opp8,4/9/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/10/20,4/9/21
account8,opp8,4/9/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,2,4/10/20,4/9/21
account9,opp9,4/25/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,19,4/26/20,4/25/21
account9,opp9,4/25/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,13,4/26/20,4/25/21
account9,opp9,4/25/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,4/26/20,4/25/21
account10,opp10,4/23/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,7,4/24/20,4/23/21
account10,opp10,4/23/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,12,4/24/20,4/23/21
account11,opp11,4/9/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,10,4/10/20,4/9/21
account11,opp11,4/9/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,4,4/10/20,4/9/21
account12,opp12,4/5/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,4/6/20,4/5/21
account12,opp12,4/5/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,50,4/6/20,4/5/21
account13,opp13,4/30/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,7,5/1/20,4/30/23
account13,opp13,4/30/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,5/1/20,4/30/23
account13,opp13,4/30/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,9,5/1/20,4/30/23
account14,opp14,4/24/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,2,4/25/20,4/24/23
account14,opp14,4/24/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,4/25/20,4/24/23
account15,opp15,4/12/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,2,4/13/20,4/12/21
account16,opp16,4/26/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,4,4/27/20,4/26/21
account17,opp17,4/30/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,2,5/1/20,4/30/21
account18,opp18,4/5/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,4/6/20,4/5/21
account19,opp19,4/23/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,10,4/24/20,4/23/21
account20,opp20,4/17/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,4/18/20,4/17/21
account20,opp20,4/17/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/18/20,4/17/21
account21,opp21,4/12/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,3,4/13/20,4/12/21
account22,opp22,4/9/20,10347b6bfa203126ec438cd4c7ff6d70fbd6cf484916613e72c37a5dac557088,1,4/10/20,4/9/21
account22,opp22,4/9/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,7,4/10/20,4/9/21
account22,opp22,4/9/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,6,4/10/20,4/9/21
account23,opp23,4/30/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,5/1/20,4/30/21
account24,opp24,4/6/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,17,4/7/20,4/6/21
account25,opp25,4/10/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,5,4/11/20,4/10/21
account25,opp25,4/10/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/11/20,4/10/21
account26,opp26,4/17/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,4/18/20,4/17/21
account27,opp27,4/23/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,20,4/24/20,4/23/21
account28,opp28,4/23/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,4/24/20,4/23/21
account28,opp28,4/23/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/24/20,4/23/21
account29,opp29,4/10/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,1,4/11/20,4/10/21
account30,opp30,4/30/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,3,5/1/20,4/30/22
account30,opp30,4/30/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,5/1/20,4/30/22
account31,opp31,4/12/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/13/20,4/12/21
account31,opp31,4/12/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,3,4/13/20,4/12/21
account31,opp31,4/12/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,4/13/20,4/12/21
account32,opp32,4/14/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,4,4/15/20,4/14/23
account32,opp32,4/14/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,5,4/15/20,4/14/23
account33,opp33,4/17/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/18/20,4/17/21
account34,opp34,4/18/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,4/19/20,4/18/21
account35,opp35,4/30/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,5/1/20,4/30/21
account36,opp36,4/19/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,4/20/20,4/19/23
account36,opp36,4/19/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,9,4/20/20,4/19/23
account37,opp37,4/26/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/27/20,4/26/21
account38,opp38,4/18/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,18,4/19/20,4/18/21
account39,opp39,4/30/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,5/1/20,4/30/21
account39,opp39,4/30/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,5/1/20,4/30/21
account39,opp39,4/30/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,2,5/1/20,4/30/21
account40,opp40,4/19/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,2,4/20/20,4/19/21
account41,opp41,4/23/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/24/20,4/23/21
account42,opp42,4/29/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/30/20,4/29/22
account42,opp42,4/29/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,4/30/20,4/29/22
account43,opp43,4/30/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,5/1/20,4/30/21
account43,opp43,4/30/20,10347b6bfa203126ec438cd4c7ff6d70fbd6cf484916613e72c37a5dac557088,1,5/1/20,4/30/21
account44,opp44,4/24/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/25/20,4/24/21
account45,opp45,4/24/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,1,4/25/20,4/24/21
account46,opp46,4/25/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,4/26/20,4/25/22
account46,opp46,4/25/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,2,4/26/20,4/25/22
account47,opp47,4/30/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,5/1/20,4/30/21
account47,opp47,4/30/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,1,5/1/20,4/30/21
account47,opp47,4/30/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,5/1/20,4/30/21
account47,opp47,4/30/20,10347b6bfa203126ec438cd4c7ff6d70fbd6cf484916613e72c37a5dac557088,1,5/1/20,4/30/21
account48,opp48,4/27/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,1,4/28/20,4/27/21
account48,opp48,4/27/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,16,4/28/20,4/27/21
account48,opp48,4/27/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,3,4/28/20,4/27/21
account49,opp49,4/30/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,5/1/20,4/30/21
account50,opp50,4/29/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,9,4/30/20,4/29/23
account50,opp50,4/29/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,10,4/30/20,4/29/23
account51,opp51,4/23/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,4/24/20,4/23/21
account51,opp51,4/23/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,6,4/24/20,4/23/21
account52,opp52,4/30/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,2,5/1/20,4/30/21
account52,opp52,4/30/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,2,5/1/20,4/30/21
account53,opp53,4/25/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,4,4/26/20,4/25/21
account54,opp54,4/27/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,1,4/28/20,4/27/21
account55,opp55,4/30/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,2,5/1/20,4/30/21
account56,opp56,4/29/20,10347b6bfa203126ec438cd4c7ff6d70fbd6cf484916613e72c37a5dac557088,1,4/30/20,4/29/21
account56,opp56,4/29/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,11,4/30/20,4/29/21
account56,opp56,4/29/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/30/20,4/29/21
account57,opp57,4/9/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,10,4/10/20,4/9/21
account58,opp58,4/16/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/17/20,4/16/21
account59,opp59,4/20/20,10347b6bfa203126ec438cd4c7ff6d70fbd6cf484916613e72c37a5dac557088,1,4/21/20,4/20/21
account59,opp59,4/20/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,4/21/20,4/20/21
account60,opp60,4/12/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,4/13/20,4/12/21
account60,opp60,4/12/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,4,4/13/20,4/12/21
account60,opp60,4/12/20,d4414675f5ff265a2ab7734bf3ff8e62e4fd621ea38028b2a335d947397dfba4,1,4/13/20,4/12/21
account61,opp61,4/15/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/16/20,4/15/21
account62,opp62,4/7/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/8/20,4/7/21
account63,opp63,4/16/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,9,4/17/20,4/16/21
account63,opp63,4/16/20,d4414675f5ff265a2ab7734bf3ff8e62e4fd621ea38028b2a335d947397dfba4,1,4/17/20,4/16/21
account63,opp63,4/16/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,4,4/17/20,4/16/21
account63,opp63,4/16/20,10347b6bfa203126ec438cd4c7ff6d70fbd6cf484916613e72c37a5dac557088,1,4/17/20,4/16/21
account63,opp63,4/16/20,ba74659186951610f566f036ac5184c7cae5ec7e602106491a99122a69b44b70,1,4/17/20,4/16/21
account64,opp64,4/18/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,4/19/20,4/18/21
account65,opp65,4/1/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,3,4/2/20,4/1/21
account65,opp65,4/1/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,4/2/20,4/1/21
account66,opp66,4/15/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,4/16/20,4/15/21
account66,opp66,4/15/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,7,4/16/20,4/15/21
account66,opp66,4/15/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/16/20,4/15/21
account67,opp67,4/16/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,4/17/20,4/16/21
account67,opp67,4/16/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,8,4/17/20,4/16/21
account67,opp67,4/16/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,4/17/20,4/16/21
account68,opp68,4/19/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/20/20,4/19/21
account69,opp69,4/8/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/9/20,4/8/21
account70,opp70,4/3/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,4/4/20,4/3/21
account70,opp70,4/3/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,5,4/4/20,4/3/21
account71,opp71,4/9/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/10/20,4/9/21
account72,opp72,4/23/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,3,4/24/20,4/23/21
account73,opp73,4/7/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,1,4/8/20,4/7/21
account74,opp74,4/17/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,4/18/20,4/17/21
account74,opp74,4/17/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,3,4/18/20,4/17/21
account75,opp75,4/18/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/19/20,4/18/21
account76,opp76,4/9/20,10347b6bfa203126ec438cd4c7ff6d70fbd6cf484916613e72c37a5dac557088,1,4/10/20,4/9/21
account76,opp76,4/9/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,3,4/10/20,4/9/21
account77,opp77,4/10/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,2,4/11/20,4/10/21
account78,opp78,4/4/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,2,4/5/20,4/4/21
account79,opp79,4/25/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,1,4/26/20,4/25/21
account79,opp79,4/25/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/26/20,4/25/21
account80,opp80,4/16/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,1,4/17/20,4/16/23
account81,opp81,4/18/20,10347b6bfa203126ec438cd4c7ff6d70fbd6cf484916613e72c37a5dac557088,1,4/19/20,4/18/21
account81,opp81,4/18/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,4/19/20,4/18/21
account82,opp82,4/29/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,5,4/30/20,4/29/21
account83,opp83,4/11/20,10347b6bfa203126ec438cd4c7ff6d70fbd6cf484916613e72c37a5dac557088,1,4/12/20,4/11/21
account83,opp83,4/11/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,14,4/12/20,4/11/21
account84,opp84,4/24/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/25/20,4/24/21
account85,opp85,4/11/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/12/20,4/11/21
account86,opp86,4/8/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/9/20,4/8/21
account87,opp87,4/23/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,4,4/24/20,4/23/21
account88,opp88,4/30/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,18,5/1/20,4/30/21
account88,opp88,4/30/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,3,5/1/20,4/30/21
account88,opp88,4/30/20,d4414675f5ff265a2ab7734bf3ff8e62e4fd621ea38028b2a335d947397dfba4,1,5/1/20,4/30/21
account88,opp88,4/30/20,10347b6bfa203126ec438cd4c7ff6d70fbd6cf484916613e72c37a5dac557088,1,5/1/20,4/30/21
account88,opp88,4/30/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,5/1/20,4/30/21
account89,opp89,4/25/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,4/26/20,4/25/21
account90,opp90,4/9/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,4/10/20,4/9/21
account90,opp90,4/9/20,10347b6bfa203126ec438cd4c7ff6d70fbd6cf484916613e72c37a5dac557088,1,4/10/20,4/9/21
account91,opp91,4/8/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,1,4/9/20,4/8/21
account92,opp92,4/16/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/17/20,4/16/21
account93,opp93,4/23/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,2,4/24/20,4/23/21
account94,opp94,4/2/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,4/3/20,4/2/21
account94,opp94,4/2/20,10347b6bfa203126ec438cd4c7ff6d70fbd6cf484916613e72c37a5dac557088,1,4/3/20,4/2/21
account95,opp95,4/18/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,2,4/19/20,4/18/21
account96,opp96,4/24/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,4/25/20,4/24/21
account96,opp96,4/24/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,3,4/25/20,4/24/21
account97,opp97,4/12/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,1,4/13/20,4/12/21
account97,opp97,4/12/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,2,4/13/20,4/12/21
account98,opp98,4/15/20,28746a25d12d36a1c0956436cfd6959f0db252e30209282bbc92fbf698dbcaa2,2,4/16/20,4/15/21
account98,opp98,4/15/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,6,4/16/20,4/15/21
account99,opp99,4/17/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/18/20,4/17/21
account100,opp100,4/29/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,10,4/30/20,4/29/21
account100,opp100,4/29/20,d4414675f5ff265a2ab7734bf3ff8e62e4fd621ea38028b2a335d947397dfba4,1,4/30/20,4/29/21
